ST229 ,B01 ,Statistics and Probability ,3(3-0) ,อ.กาญจนา พานิชการ,In-Class,90,90,[TH2-4],[02-23-0403],ARR,[02-99-9999],"EG1E, EG24"
,,,,,(ภาษาที่สอน : Thai),,,พฤหัสบดี,ห้องเรียน,,ARR (องครักษ์),
,,,,,,,,09.30-12.20,องครักษ์,,,
,,,,,,,,,,,,
ST333 ,B01 ,Biostatistics  ,2(1-2) ,อ.กาญจนา พานิชการ,In-Class,30,30,[TU6-8],[01-10-0315],ARR,[01-99-9999],SC33
,,,,,(ภาษาที่สอน : Thai),,,อังคาร,315 ห้องปฏิบัตการสถิติและคอมพิวเตอร์,,ARR (ประสานมิตร),
,,,,,,,,13.30-16.20,ประสานมิตร,,,
,,,,,,,,,,,,
,,,,,,,,[TU6-8],[01-10-0516],,,
,,,,,,,,อังคาร,516 ห้องบรรยาย ป.โท,,,
,,,,,,,,13.30-16.20,ประสานมิตร,,,
ST481 ,B01 ,Statistics Project I ,1(0-2) ,อ.กาญจนา พานิชการ,In-Class,30,30,[TH6-8],[01-19-0902],ARR,[01-99-9999],ST43
,,,,ผศ.สุกัญญา อินทรภักดิ์,(ภาษาที่สอน : Thai),,,พฤหัสบดี,ห้องเรียนบรรยาย,,ARR (ประสานมิตร),
,,,,อ.อัจฉริยะ วัธนวิสูตร,,,,13.30-16.20,ประสานมิตร,,,
,,,,อ.อังคนา เกาะแก้ว,,,,,,,,
,,,,อ.ชนากานต์ จรเสถียร,,,,[TH6-8],[01-19-1909],,,
,,,,อ.จิดาภา ธาดาจรัสศิริ,,,,พฤหัสบดี,ห้องสัมมนาทางสถิติ,,,
,,,,,,,,13.30-16.20,ประสานมิตร,,,
ST232 ,B01 ,Nonparametric Regression Methods ,2(1-2) ,อ.อัจฉริยะ วัธนวิสูตร,In-Class,40,40,[W6-8],[01-19-0902],ARR,[01-99-9999],SC23
,,,,,(ภาษาที่สอน : Thai),,,พุธ,ห้องเรียนบรรยาย,,ARR (ประสานมิตร),
,,,,,,,,13.30-16.20,ประสานมิตร,,,
,,,,,,,,,,,,
ST331 ,B01 ,Regression Analysis ,3(2-2) ,อ.อัจฉริยะ วัธนวิสูตร,In-Class,30,30,[TU1-2],[01-19-0902],ARR,[01-99-9999],SC33
,,,,,(ภาษาที่สอน : Thai),,,อังคาร,ห้องเรียนบรรยาย,,ARR (ประสานมิตร),
,,,,,,,,08.30-10.20,ประสานมิตร,,,
,,,,,,,,,,,,
,,,,,,,,[TU1-4],[01-19-1910],,,
,,,,,,,,อังคาร,ห้องบรรยายและปฏิบัติการทางสถิติ,,,
,,,,,,,,08.30-12.20,ประสานมิตร,,,
ST431 ,B01 ,Experimental Designs ,3(2-2) ,อ.อัจฉริยะ วัธนวิสูตร,In-Class,30,30,[F3-4],[01-19-1909],ARR,[01-99-9999],SC43
,,,,,(ภาษาที่สอน : Thai),,,ศุกร์,ห้องสัมมนาทางสถิติ,,ARR (ประสานมิตร),
,,,,,,,,10.30-12.20,ประสานมิตร,,,
,,,,,,,,,,,,
,,,,,,,,[F6-7],[01-19-0902],,,
,,,,,,,,ศุกร์,ห้องเรียนบรรยาย,,,
,,,,,,,,13.30-15.20,ประสานมิตร,,,
,,,,,,,,,,,,
,,,,,,,,[F6-7],[01-19-1909],,,
,,,,,,,,ศุกร์,ห้องสัมมนาทางสถิติ,,,
,,,,,,,,13.30-15.20,ประสานมิตร,,,
ST481 ,B01 ,Statistics Project I ,1(0-2) ,อ.กาญจนา พานิชการ,In-Class,30,30,[TH6-8],[01-19-0902],ARR,[01-99-9999],ST43
,,,,ผศ.สุกัญญา อินทรภักดิ์,(ภาษาที่สอน : Thai),,,พฤหัสบดี,ห้องเรียนบรรยาย,,ARR (ประสานมิตร),
,,,,อ.อัจฉริยะ วัธนวิสูตร,,,,13.30-16.20,ประสานมิตร,,,
,,,,อ.อังคนา เกาะแก้ว,,,,,,,,
,,,,อ.ชนากานต์ จรเสถียร,,,,[TH6-8],[01-19-1909],,,
,,,,อ.จิดาภา ธาดาจรัสศิริ,,,,พฤหัสบดี,ห้องสัมมนาทางสถิติ,,,
,,,,,,,,13.30-16.20,ประสานมิตร,,,
CP111 ,B02 ,Fundamentals of Computer Programming ,3(2-2) ,ผศ.อิทธิเทพ นวาระสุจิตร,In-Class,41,41,[TU6-9],[01-10-0316],ARR,[01-99-9999],SC13
,,,,,(ภาษาที่สอน : Thai),,,อังคาร,316 ห้องปฏิบัตการสถิติและคอมพิวเตอร์,,ARR (ประสานมิตร),
,,,,,,,,13.30-17.20,ประสานมิตร,,,
,,,,,,,,,,,,
CP111 ,B03 ,Fundamentals of Computer Programming ,3(2-2) ,ผศ.อิทธิเทพ นวาระสุจิตร,In-Class,40,40,[W6-9],[01-10-0316],ARR,[01-99-9999],SC21
,,,,,(ภาษาที่สอน : Thai),,,พุธ,316 ห้องปฏิบัตการสถิติและคอมพิวเตอร์,,ARR (ประสานมิตร),
,,,,,,,,13.30-17.20,ประสานมิตร,,,
,,,,,,,,,,,,
MA217 ,B01 ,Mathematics for Statistics ,3(3-0) ,ผศ.อิทธิเทพ นวาระสุจิตร,In-Class,40,40,[M2-4],[01-10-0516],ARR,[01-99-9999],"SC23, SC43"
,,,,,(ภาษาที่สอน : Thai),,,จันทร์,516 ห้องบรรยาย ป.โท,,ARR (ประสานมิตร),
,,,,,,,,09.30-12.20,ประสานมิตร,,,
,,,,,,,,,,,,
ST213 ,B01 ,Nonparametric Statistics ,3(2-2) ,ผศ.สุกัญญา อินทรภักดิ์,In-Class,40,40,[M6-7],[01-19-0902],ARR,[01-99-9999],SC23
,,,,,(ภาษาที่สอน : Thai),,,จันทร์,ห้องเรียนบรรยาย,,ARR (ประสานมิตร),
,,,,,,,,13.30-15.20,ประสานมิตร,,,
,,,,,,,,,,,,
,,,,,,,,[M6-7],[01-19-1909],,,
,,,,,,,,จันทร์,ห้องสัมมนาทางสถิติ,,,
,,,,,,,,13.30-15.20,ประสานมิตร,,,
,,,,,,,,,,,,
,,,,,,,,[TU1-2],[01-19-1909],,,
,,,,,,,,อังคาร,ห้องสัมมนาทางสถิติ,,,
,,,,,,,,08.30-10.20,ประสานมิตร,,,
ST334 ,B01 ,Time Series Analysis ,3(2-2) ,ผศ.สุกัญญา อินทรภักดิ์,In-Class,30,30,[M1-2],[01-19-0902],ARR,[01-99-9999],SC33
,,,,,(ภาษาที่สอน : Thai),,,จันทร์,ห้องเรียนบรรยาย,,ARR (ประสานมิตร),
,,,,,,,,08.30-10.20,ประสานมิตร,,,
,,,,,,,,,,,,
,,,,,,,,[M1-2],[01-19-1909],,,
,,,,,,,,จันทร์,ห้องสัมมนาทางสถิติ,,,
,,,,,,,,08.30-10.20,ประสานมิตร,,,
,,,,,,,,,,,,
,,,,,,,,[F1-2],[01-19-1909],,,
,,,,,,,,ศุกร์,ห้องสัมมนาทางสถิติ,,,
,,,,,,,,08.30-10.20,ประสานมิตร,,,
ST362 ,B01 ,Introduction to Mathematics of Life Insurance ,3(3-0) ,ผศ.สุกัญญา อินทรภักดิ์,In-Class,90,90,[TU6-8],[01-10-0414],ARR,[01-99-9999],"SC31, SC41, SC43"
,,,,,(ภาษาที่สอน : Thai),,,อังคาร,414 ห้องบรรยาย,,ARR (ประสานมิตร),
,,,,,,,,13.30-16.20,ประสานมิตร,,,
,,,,,,,,,,,,
ST481 ,B01 ,Statistics Project I ,1(0-2) ,อ.กาญจนา พานิชการ,In-Class,30,30,[TH6-8],[01-19-0902],ARR,[01-99-9999],ST43
,,,,ผศ.สุกัญญา อินทรภักดิ์,(ภาษาที่สอน : Thai),,,พฤหัสบดี,ห้องเรียนบรรยาย,,ARR (ประสานมิตร),
,,,,อ.อัจฉริยะ วัธนวิสูตร,,,,13.30-16.20,ประสานมิตร,,,
,,,,อ.อังคนา เกาะแก้ว,,,,,,,,
,,,,อ.ชนากานต์ จรเสถียร,,,,[TH6-8],[01-19-1909],,,
,,,,อ.จิดาภา ธาดาจรัสศิริ,,,,พฤหัสบดี,ห้องสัมมนาทางสถิติ,,,
,,,,,,,,13.30-16.20,ประสานมิตร,,,
MAT103 ,B01 ,Basic Statistics for Teachers ,1(0-2) ,อ.ชนากานต์ จรเสถียร,In-Class,60,60,[W1-2],[01-10-0315],ARR,[01-99-9999],"SC1ED5, SC1ED8"
,,,,,(ภาษาที่สอน : Thai),,,พุธ,315 ห้องปฏิบัตการสถิติและคอมพิวเตอร์,,ARR (ประสานมิตร),
,,,,,,,,08.30-10.20,ประสานมิตร,,,
,,,,,,,,,,,,
,,,,,,,,[W1-2],[01-19-0813],,,
,,,,,,,,พุธ,19-813 ห้องบรรยาย,,,
,,,,,,,,08.30-10.20,ประสานมิตร,,,
MAT103 ,B02 ,Basic Statistics for Teachers ,1(0-2) ,อ.ชนากานต์ จรเสถียร,In-Class,30,30,[M3-4],[01-10-0315],ARR,[01-99-9999],SC2ED7
,,,,,(ภาษาที่สอน : Thai),,,จันทร์,315 ห้องปฏิบัตการสถิติและคอมพิวเตอร์,,ARR (ประสานมิตร),
,,,,,,,,10.30-12.20,ประสานมิตร,,,
,,,,,,,,,,,,
,,,,,,,,[M3-4],[01-19-1909],,,
,,,,,,,,จันทร์,ห้องสัมมนาทางสถิติ,,,
,,,,,,,,10.30-12.20,ประสานมิตร,,,
ST338 ,B01 ,Survival Analysis  ,2(1-2) ,อ.ชนากานต์ จรเสถียร,In-Class,30,30,[W6-8],[01-10-0315],ARR,[01-99-9999],SC33
,,,,,(ภาษาที่สอน : Thai),,,พุธ,315 ห้องปฏิบัตการสถิติและคอมพิวเตอร์,,ARR (ประสานมิตร),
,,,,,,,,13.30-16.20,ประสานมิตร,,,
,,,,,,,,,,,,
,,,,,,,,[W6-8],[01-19-1909],,,
,,,,,,,,พุธ,ห้องสัมมนาทางสถิติ,,,
,,,,,,,,13.30-16.20,ประสานมิตร,,,
ST481 ,B01 ,Statistics Project I ,1(0-2) ,อ.กาญจนา พานิชการ,In-Class,30,30,[TH6-8],[01-19-0902],ARR,[01-99-9999],ST43
,,,,ผศ.สุกัญญา อินทรภักดิ์,(ภาษาที่สอน : Thai),,,พฤหัสบดี,ห้องเรียนบรรยาย,,ARR (ประสานมิตร),
,,,,อ.อัจฉริยะ วัธนวิสูตร,,,,13.30-16.20,ประสานมิตร,,,
,,,,อ.อังคนา เกาะแก้ว,,,,,,,,
,,,,อ.ชนากานต์ จรเสถียร,,,,[TH6-8],[01-19-1909],,,
,,,,อ.จิดาภา ธาดาจรัสศิริ,,,,พฤหัสบดี,ห้องสัมมนาทางสถิติ,,,
,,,,,,,,13.30-16.20,ประสานมิตร,,,
ST228 ,B01 ,PROBABILITY AND STATISTICS ,3(2-2) ,อ.อังคนา เกาะแก้ว,In-Class,40,40,[TU1-4],[01-10-0315],ARR,[01-99-9999],SC21
,,,,,(ภาษาที่สอน : Thai),,,อังคาร,315 ห้องปฏิบัตการสถิติและคอมพิวเตอร์,,ARR (ประสานมิตร),
,,,,,,,,08.30-12.20,ประสานมิตร,,,
,,,,,,,,,,,,
,,,,,,,,[TU1-4],[01-10-0516],,,
,,,,,,,,อังคาร,516 ห้องบรรยาย ป.โท,,,
,,,,,,,,08.30-12.20,ประสานมิตร,,,
ST341 ,B01 ,Data Analysis by Statistical Packages ,3(2-2) ,อ.อังคนา เกาะแก้ว,In-Class,30,30,[W1-4],[01-19-0902],ARR,[01-99-9999],SC33
,,,,,(ภาษาที่สอน : Thai),,,พุธ,ห้องเรียนบรรยาย,,ARR (ประสานมิตร),
,,,,,,,,08.30-12.20,ประสานมิตร,,,
,,,,,,,,,,,,
ST481 ,B01 ,Statistics Project I ,1(0-2) ,อ.กาญจนา พานิชการ,In-Class,30,30,[TH6-8],[01-19-0902],ARR,[01-99-9999],ST43
,,,,ผศ.สุกัญญา อินทรภักดิ์,(ภาษาที่สอน : Thai),,,พฤหัสบดี,ห้องเรียนบรรยาย,,ARR (ประสานมิตร),
,,,,อ.อัจฉริยะ วัธนวิสูตร,,,,13.30-16.20,ประสานมิตร,,,
,,,,อ.อังคนา เกาะแก้ว,,,,,,,,
,,,,อ.ชนากานต์ จรเสถียร,,,,[TH6-8],[01-19-1909],,,
,,,,อ.จิดาภา ธาดาจรัสศิริ,,,,พฤหัสบดี,ห้องสัมมนาทางสถิติ,,,
,,,,,,,,13.30-16.20,ประสานมิตร,,,
ST491 ,B01 ,Internship ,1(0-2) ,อ.อังคนา เกาะแก้ว,ไม่ระบุ,27,27,ARR,[01-99-9999],ARR,[01-99-9999],SC43
,,,,,(ภาษาที่สอน : Thai),,,,ARR (ประสานมิตร),,ARR (ประสานมิตร),
,,,,,,,,,,,,
,,,,,,,,,,,,
ST471 ,B01 ,Artificial Neural Networks and Deep Learning ,3(2-2) ,อ.จิดาภา ธาดาจรัสศิริ,In-Class,30,30,[M3-4],[01-10-0316],ARR,[01-99-9999],SC33
,,,,,(ภาษาที่สอน : Thai),,,จันทร์,316 ห้องปฏิบัตการสถิติและคอมพิวเตอร์,,ARR (ประสานมิตร),
,,,,,,,,10.30-12.20,ประสานมิตร,,,
,,,,,,,,,,,,
,,,,,,,,[M6-7],[01-10-0316],,,
,,,,,,,,จันทร์,316 ห้องปฏิบัตการสถิติและคอมพิวเตอร์,,,
,,,,,,,,13.30-15.20,ประสานมิตร,,,
,,,,,,,,,,,,
,,,,,,,,[M6-7],[01-10-0516],,,
,,,,,,,,จันทร์,516 ห้องบรรยาย ป.โท,,,
,,,,,,,,13.30-15.20,ประสานมิตร,,,
ST472 ,B01 ,Data Mining  ,3(2-2) ,อ.จิดาภา ธาดาจรัสศิริ,In-Class,30,30,[F3-4],[01-10-0316],ARR,[01-99-9999],SC33
,,,,,(ภาษาที่สอน : Thai),,,ศุกร์,316 ห้องปฏิบัตการสถิติและคอมพิวเตอร์,,ARR (ประสานมิตร),
,,,,,,,,10.30-12.20,ประสานมิตร,,,
,,,,,,,,,,,,
,,,,,,,,[F3-4],[01-10-0516],,,
,,,,,,,,ศุกร์,516 ห้องบรรยาย ป.โท,,,
,,,,,,,,10.30-12.20,ประสานมิตร,,,
,,,,,,,,,,,,
,,,,,,,,[F6-7],[01-10-0316],,,
,,,,,,,,ศุกร์,316 ห้องปฏิบัตการสถิติและคอมพิวเตอร์,,,
,,,,,,,,13.30-15.20,ประสานมิตร,,,
,,,,,,,,,,,,
,,,,,,,,[F6-7],[01-10-0516],,,
,,,,,,,,ศุกร์,516 ห้องบรรยาย ป.โท,,,
,,,,,,,,13.30-15.20,ประสานมิตร,,,
ST481 ,B01 ,Statistics Project I ,1(0-2) ,อ.กาญจนา พานิชการ,In-Class,30,30,[TH6-8],[01-19-0902],ARR,[01-99-9999],ST43
,,,,ผศ.สุกัญญา อินทรภักดิ์,(ภาษาที่สอน : Thai),,,พฤหัสบดี,ห้องเรียนบรรยาย,,ARR (ประสานมิตร),
,,,,อ.อัจฉริยะ วัธนวิสูตร,,,,13.30-16.20,ประสานมิตร,,,
,,,,อ.อังคนา เกาะแก้ว,,,,,,,,
,,,,อ.ชนากานต์ จรเสถียร,,,,[TH6-8],[01-19-1909],,,
,,,,อ.จิดาภา ธาดาจรัสศิริ,,,,พฤหัสบดี,ห้องสัมมนาทางสถิติ,,,
,,,,,,,,13.30-16.20,ประสานมิตร,,,
